Dates,TSM_HIGH,TSM_LOW,TSM_OPEN,TSM_LAST,TSM_IV1st_90%,TSM_IV1st_95%,TSM_IV1st_97.5%,TSM_IV1st_100%,TSM_IV1st_102.5%,TSM_IV1st_105%,TSM_IV1st_110%,TSM_IV2nd_90%,TSM_IV2nd_95%,TSM_IV2nd_97.5%,TSM_IV2nd_100%,TSM_IV2nd_102.5%,TSM_IV2nd_105%,TSM_IV2nd_110%,TSM_IV1m_90%,TSM_IV1m_95%,TSM_IV1m_97.5%,TSM_IV1m_100%,TSM_IV1m_102.5%,TSM_IV1m_105%,TSM_IV1m_110%,TSM_IV2m_90%,TSM_IV2m_95%,TSM_IV2m_97.5%,TSM_IV2m_100%,TSM_IV2m_102.5%,TSM_IV2m_105%,TSM_IV2m_110%,TSM_IV3m_90%,TSM_IV3m_95%,TSM_IV3m_97.5%,TSM_IV3m_100%,TSM_IV3m_102.5%,TSM_IV3m_105%,TSM_IV3m_110%
25/3/2020,50.05,48.05,49.3,49.0,68.5583,66.3516,66.2944,61.2612,59.2596,53.9373,49.2545,61.0042,57.54600000000001,55.9254,54.3048,52.6136,50.8536,47.3336,72.1644,69.7476,67.2002,64.4189,60.6538,56.7921,56.4505,58.5924,55.3505,53.7394,52.1284,50.5541,49.0164,45.94600000000001,54.1976,51.3587,49.7589,48.1593,46.8035,45.6868,43.458
26/3/2020,50.46,48.92,49.1,49.87,66.3676,63.1231,59.9119,57.4129,56.5049,53.68,49.3511,57.3817,54.1903,52.6498,51.1093,49.8345,48.6958,46.4184,66.7883,70.8024,60.5391,55.9987,54.9763,49.3878,54.2236,54.5777,51.815,50.4851,49.1564,47.9696,46.8551,44.6261,49.9791,47.9494,46.9767,46.0049,44.9637,43.8864,41.732
27/3/2020,48.085,46.51,47.23,46.91,72.6361,68.4273,67.6799,64.3099,61.2942,59.9342,56.4267,62.7593,59.0665,57.5763,56.1558,54.7354,53.3149,51.859,71.6941,66.4641,68.3395,69.425,67.3868,62.8207,57.0353,59.4905,56.2569,54.9707,53.7499,52.5299,51.3109,49.7726,54.6743,52.1444,51.1694,50.2516,49.3345,48.4181,46.7501
30/3/2020,48.16,46.77,47.18,47.82,60.9306,60.7793,58.3999,55.9711,53.8783,52.6867,47.6801,57.111,53.5539,52.0313,50.5087,48.986,47.5787,45.6713,60.1361,60.1972,53.4449,52.0155,49.1241,52.6552,47.2755,53.6387,50.6612,49.2034,47.7456,46.2879,44.9497,43.214,49.7968,47.4873,46.0994,44.7115,43.3236,42.0608,40.5186
31/3/2020,49.03,47.66,47.8,47.79,61.4702,56.2835,53.8033,48.2077,50.2983,47.8892,40.9691,53.7947,50.5305,49.0099,47.4893,45.9687,44.4954,42.1659,55.9694,53.8551,57.0795,52.5933,47.0422,47.0202,43.1222,50.8767,48.0426,46.6664,45.2904,43.9146,42.5887,40.5882,48.0131,45.6146,44.383,43.1515,41.9201,40.7412,39.0685
1/4/2020,47.56,46.3,46.83,46.51,66.5789,62.6952,59.9566,57.9178,55.5933,53.0557,48.2754,59.13399999999999,55.5855,53.88800000000001,52.3639,50.8399,49.3158,46.2868,62.7102,61.1045,60.592,57.5401,57.185,53.5442,48.8602,53.6909,51.2507,49.9991,48.66,47.32100000000001,45.9823,43.5901,48.5664,47.2385,46.424,45.2605,44.0971,42.9338,41.1496
2/4/2020,48.22,46.61,46.92,48.13,62.35,57.6984,55.6765,52.7379,50.1282,47.9089,44.0189,59.794,53.8427,51.5288,49.2149,46.901,44.9884,42.3121,59.596,56.3582,57.8535,55.6607,52.5053,51.8587,45.412,53.4874,49.6324,49.2634,46.674,45.2079,44.2422,42.3901,52.3857,49.2852,48.1462,46.5039,45.1163,43.8821,41.5509
3/4/2020,48.15,46.78,47.79,47.06,60.9834,55.9389,54.5304,52.2449,48.7851,46.245,41.6826,55.6271,52.5098,50.7512,48.9128,47.0743,45.2359,42.1847,58.6635,56.3956,57.9728,58.0557,50.2497,50.8425,43.8707,51.8951,48.7573,47.1669,45.00100000000001,44.9645,43.0521,40.4491,48.2657,45.6492,44.4389,43.1417,42.3224,41.0816,38.9607
6/4/2020,50.1,48.51,48.63,49.97,57.027,50.0861,47.499,44.831,42.5058,40.6409,40.6848,51.0657,47.0349,45.0296,43.0243,41.5698,40.1242,37.233,56.9506,54.4697,50.273,49.9341,48.1433,44.0123,41.5404,46.8924,44.2986,43.3573,42.3343,40.4814,39.0708,33.5278,44.5536,43.5403,43.1035,42.6534,40.644,38.6917,34.2985
7/4/2020,51.32,49.66,51.29,49.72,62.4178,54.0584,51.4546,47.6634,45.0186,43.0225,42.3582,50.5703,46.8507,44.9872,43.1236,41.7974,40.4936,37.886,62.8065,60.3601,59.6149,39.226,43.7692,61.3925,37.9296,48.1816,42.8956,41.5386,40.3534,40.5515,38.8514,32.723,42.1929,40.3331,39.671,39.041,37.4831,35.5423,31.1679
